procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 3917556 1164612 6319476    0    0    22    19  246  252  2  1 97  0  0
 1  0      0 3918904 1164620 6319116    0    0     0    92 6805 14321  3  5 93  0  0
 1  0      0 2584600 1164620 6313668    0    0     0     0 5603 11885  2  3 95  0  0
 0  0      0 3922500 1164620 6314524    0    0     0     0 5796 12374  3  2 95  0  0
 0  0      0 3922052 1164620 6314896    0    0     0     0 6468 13570  2  5 93  0  0
 1  0      0 3352784 1164620 6315272    0    0     0  2092 6238 13398  3  2 95  0  0
 1  0      0 3921352 1164620 6314636    0    0     0     0 6044 12788  2  3 94  0  0
 0  0      0 3924520 1164628 6314636    0    0     0    56 5527 11233  2  4 94  0  0
 1  0      0 3851144 1164636 6314748    0    0     0    32 5645 12405  3  1 96  0  0
 0  0      0 3925648 1164636 6315732    0    0     0     0 6340 13352  2  4 93  0  0
 1  0      0 2285380 1164652 6313836    0    0     0    60 5529 11775  2  3 95  0  0
 1  0      0 3926100 1164660 6314768    0    0     0   288 5836 12615  3  2 95  0  0
 0  0      0 3925652 1164660 6314704    0    0     0  1148 5872 11873  2  4 94  0  0
 1  0      0 2936048 1164660 6315728    0    0     0     0 5810 12565  2  3 95  0  0
 1  0      0 3924700 1164660 6315276    0    0     0     0 6129 12881  2  3 95  0  0
 1  0      0 3932532 1164660 6309904    0    0     0     0 5528 11017  2  4 94  0  0
 0  0      0 3932316 1164660 6310092    0    0     0    24 5504 11730  2  2 96  0  0

In this example i allocated 2GB of memory each second, however si and so did not changed at all.
This fact can be explained with big amount of memory on local machine.
